motor boat	motorový čln
motor vessel (m/v), motor ship (m/s) motorová loď (obchodná)
seagoing ship	námorná loď
sailing vessel	plachetnica (obchodná)
yacht	jachta
motor yacht	motorová jachta
sailing yacht	plachetnica (jachta)
cabin yacht	kajutová jachta
motor sailer	motorová plachetnica
sloop	slup
ketch	keč
yaw/	jola, jol
schooner	škuner
dinghy	ľahký čin
craft	plavidlo
pleasure craft	rekreačné plavidlo
cruiser	turistická jachta
racer	pretekárska jachta
life boat	záchranný čln
rescue boat	záchranársky čln
open boat	otvorený (bezpalubový) čln
displacement	výtlak
hull	trup
round bilged hull	zaoblený trup
hard chine hull	lomený trup
transom stern	plochá (zrkadlová) korma
fin keel	plutvový kýl
sail area	plocha oplachtenia
forecastle	predná kajuta, predná nadstavba (na veľkej lodi)
chain locker	komora kotvovej reťaze
cabin, saloon	kajuta
berth	kója, lôžko, nábrežie
quarter berth	kormová kója (hundekója)
galley	kuchyňa, kuchynský kút
table	stôl
bulkhead	priedel, priečka
companion way	vchod (schodiky) do kajuty
engine compartment	motorový priestor
freshwater tank	tank na sladkú vodu
hatch	príklop (na kajute a pod.)
cockpit	kokpit
self-draining cockpit	samovylievací kokpit
sail locker	priestor (komora) na plachty
bow, forward	prova, predná časť (lode)
stern, aft	korma, zadná časť (lode)
lenght	dĺžka (lode)
lenght overall (LOA)	najväčšia dĺžka
lenght on the waterline (LWL)	najväčšia dižka na vodoryske
beam, breath	šírka (lode)
port side, port	ľavá strana (lode), lavobok
starboard side, starboard	pravá strana (lode), pravobok
stem	čeleň
wood keel	drevený kýl
ballast keel	balastová plutva
sternpost	kormovec
rudder	kormidlo, kormidlová plutva
tiler	kormidlová páka
deck	paluba (napr. main deck-hlavná pal. boat deck-člnová pal., sun deck-slnečná pal.)
bilges	stoky
pulpit	predný kôš
stern pulpit	zadný kôš
guardrail	palubné zábradlie
lifeline	bezpečnostné lano
gross/net registered tonnage	priestornost hrubá /čistá
planking	lištová obšívka
skin	obšívka
frame	rebro, rám, kostra
foor	podlaha
depth	hĺbka (vody, trupu, náklad. priestoru)
